"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Benin","BEN","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","38270389.1137489","45480733.0625693","56403361.8497442","70662558.7285998","82814892.6172899","64217950.5797226","67726437.3084142","99953518.6095289","105161871.667005","112005136.321727","85726569.7940798","115335589.427226","94996692.6989026","83303450.8911295","82488427.26866","95944078.3422979","112052905.369928","131734894.48652","117714808.674257","144567171.004111","142237019.725501","134632926.428935","168914307.539202","128717735.998993","175248859.85811","195385918.236333","192092908.416991","196091043.030973","484312461.157941","492230578.788186","573333632.12364","656120890.448675","842328366.707628","916681871.399368","1029205220.62806","1085950778.8286","1122583424.86122","1198995510.76233","1189974568.85425","1119438484.43687","1254708431.38844","1193479716.73251","1367170306.88018","1379814596.36141","1142878261.71234","1173981481.10649","1221907855.2081","1306787622.0302","1419844721.12659","1516308111.03814","",
"Burkina Faso","BFA","Manufacturing, value added (current US$)","NV.IND.MANF.CD","37226998.4188102","37217132.3423582","42228722.5337012","43881606.7006127","44709843.6418487","47190314.734011","55324144.491335","67627967.6212567","71295784.091997","76484004.883817","76337513.9424992","84014340.3188231","106285703.232503","128379104.95439","139110078.864268","170447254.924925","173227354.200975","185855293.294481","226626761.808577","277612996.047416","284313207.711488","256165618.634571","252587325.319082","256156147.753932","220606080.648266","206878820.646258","278770879.445022","355237939.072978","394160524.052185","378999541.704714","457411328.970914","419369381.60676","485814081.131338","455208416.648244","254877167.286228","336006112.009975","345800737.519754","351404108.044725","387091293.72942","548655346.381395","455850762.311886","476679804.428659","537961897.22208","738979038.533368","825416592.394252","819970230.91524","919517950.498597","1093355154.89194","1229928526.4574","1280378815.86261","1227306584.97885","1402783043.8117","1299101612.10429","1367254711.68634","1533180072.88196","1375053978.12662","1427126237.0791","1447287183.63191","1672461704.23254","1620813678.35729","1668287721.38308","",
"Bangladesh","BGD","Manufacturing, value added (current US$)","NV.IND.MANF.CD","226993053.481755","263549989.529379","276869197.333551","285087405.340382","296989675.700848","321644341.388005","386256588.821014","404960108.911272","460503960.871228","495643959.475145","521998979.261416","480057689.261041","250514166.666667","689132129.546331","1157568227.46673","1369606286.61559","939265010.10101","1083458209.43762","1316355416.66667","1534982306.17608","2627747105.87855","2831325423.25581","2582283071.20758","2649048848.23232","2952393797.12","3221030024.15385","3096970980.16667","3273869886.77419","3567442434.2321","3714461768.48189","4183373453.68304","4330061263.30532","4565273705.57029","5111802526.45503","5358902326.68329","6032422651.74129","6502616136.91932","6811990632.3185","7427621145.37445","7377371048.25291","7490618167.36235","7655077835.43365","7835086191.88577","8509758203.79965","9403023611.34704","10238666666.6667","10993750891.8999","12685416378.5114","14774963565.078","16888530705.3242","18584403328.5489","20577869200.2028","21222528249.5229","24661459165.3291","28720955217.7353","32751122556.5332","53970134073.4011","58971425899.3151","66854215526.542","74490450938.4833","77017599101.8243","88396662036.502",
"Bulgaria","BGR","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahrain","BHR","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","","","","498540726.983285","538031914.893617","452393617.021277","444680851.06383","486170212.765957","369148936.170213","423136968.085106","543611436.170213","672149734.042553","665624468.085106","707351329.787234","731603723.404255","661627393.617021","798316755.319149","895620744.680851","1114481382.97872","","","","","","","","","","","2451276595.74468","3143670212.76596","3881462765.95745","3207154255.31915","3723856382.97872","4330186170.21277","4568776595.74468","4821462765.95745","4984148936.17021","5398138297.87234","5835452127.65957","6564574468.08511","6660701063.82979","6811336702.12766","6294815159.57447","7818815691.48936",
"Bahamas, The","BHS","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","131439000","120438000","149360000","135535000","131806000","133966000","121136000","154169000","148600000","136400000","210100000","233200000","184000000","224300000","214000000","243300000","235200000","256400000","243700000","220900000","208900000","214800000","220700000","315800000","272900000","295200000","287800000","357500000","337300000","260900000","150400000","135000000","189000000",
"Bosnia and Herzegovina","BIH","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","144487654.320988","213470588.235294","318626063.264221","412045441.439363","496855941.35364","501376906.318083","517547291.568535","545647327.964861","626685659.287777","790348759.376803","926139619.047619","1115872067.14567","1288749342.56943","1705854093.77187","2104748202.51648","1845496839.26415","1869659646.50911","2035260430.73424","1815993761.08229","1987529587.40499","2030594504.74898","1892914062.71451","2092168187.41989","2371072930.33053","2668534060.87811","2613591960.08542","2616941046.25422","3118296294.33728",
"Belarus","BLR","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8264000000","8000000000","6666666666.66667","4578512396.69421","4034071836.18664","3909030223.51127","4361846153.84615","4294946849.4839","4486992715.92092","3422615776.4897","3444492987.6727","3286330935.2518","3789893914.01452","4751730862.99366","6607777777.77778","7655246053.8533","9238508158.50816","11277213420.3169","15910533707.8652","11424991049.0512","12880832494.1255","16317788944.7236","16278757346.7674","16612950450.4505","16619913928.0125","11654715559.4625","9617159227.98553","11836878331.522","12761385944.2481","13938187207.19","13212041562.2818","15595303758.5691",
"Belize","BLZ","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","","22550000","20950000","36034442.745","30631224.2365","22957812.815","26966952.2505","32318816.941","27091352.447","27086925.394","39344993.1755","43529001.215","46854603.6265","46966608.0745","46312750","53311700","54391250","56777700","60524050","64476650","62956200","64795450","66192900","79110850","77657097.533265","77387949.8800515","77027124.1870425","82406220.641327","86434005.533891","124184450.825457","142486469.211766","171425695.579244","152852771.802888","170592836.541382","200418003.45264","189555526.520744","160783146.248287","146943318.624342","122724617.889235","120350365.075762","122702061.321854","103405253.758093","117023685.54598","89694257.5854685","93155487.2302855",
"Bermuda","BMU","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77586000","84077000","71565000","78134000","80210000","","","","","56755000","44426000","38139000","33436000","30792000","34216000","29743000","33116000","35210000","38308000","23172000","",
"Bolivia","BOL","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","134932659.93266","148316498.316498","161865362.91839","162268865.567216","257871064.467766","295552223.888056","350124937.531234","405847076.461769","465467266.366817","577063514.235442","584277330.103507","867402519.001852","419768466.563074","650504778.241946","699186121.687488","862209873.207179","746889297.884477","742845554.183809","819668173.424263","801029591.817003","825689314.981029","947392839.188963","967442917.57467","967587653.278938","996349399.415648","1123417244.75554","1214990619.95034","1150825666.59688","1188982032.99396","1126284013.4884","1111976485.80901","1086469660.50644","1030513333.33333","1033285695.63401","1097335496.47177","1110266026.95231","1297680338.50916","1497657912.16629","1862267590.45632","2014339330.48433","2214517864.52321","2477409528.61468","2766467120.11577","3043801287.98842","3213277004.34153","3363113183.79161","3728168494.93488","3935972532.5615","4167012460.2026","4289716338.63965","4013837351.66425","4334302937.77135",
"Brazil","BRA","Manufacturing, value added (current US$)","NV.IND.MANF.CD","3852188024.9444","4193057035.9607","4772116035.59079","6257148156.92859","5172614043.19552","5087286129.07197","6341101585.21343","6868292262.30246","8083123875.88107","9057518719.32158","10427349463.2674","12302545578.472","14659092894.4013","20247558633.575","27916785406.0384","33056629539.4761","40879104318.7074","45552868289.134","54595852921.7408","62757114219.2285","71097586790.7491","77880098856.9116","87523772929.0972","60618125231.8446","64546457187.1385","57190370911.1111","66223729020.339","70974702723.5294","77589430754.185","101543542074.364","89195353371.2484","74822659969.7434","76496007344.5097","95940079689.7617","124624210233.59","111878600504.472","111126848328.275","114981339361.436","104985257900.18","73807144665.696","86090888339.9703","73299279379.4656","62995211278.6041","80669041190.6065","101059543000.491","131411500113.264","156274453216.522","197751250207.546","236659619961.05","217700750135.529","281005283168.771","308282601293.128","263186350427.623","259141881845.27","253883636268.918","189609597183.091","193691576387.681","221239686371.586","201823548512.429","193557509065.199","139980984072.131","155191736659.739",
"Barbados","BRB","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","35592297.4110193","42316099.4111189","51136635.4395057","55884253.9650972","67767115.795754","91234524.9341222","94317108.3378909","102222443.195943","118679461.045095","131308109.183115","115298563.118381","114005866.852285","111171878.884304","119425247.352459","115994630.338587","209516233.281957","197832247.79993","172450000","172724108.785363","169492368.120121","177099388.455228","186595734.102322","199025505.891712","222443195.942923","225227464.823746","236900000","238050000","234100000","259650000","267650000","267950000","325227115.469881","321979222.990729","343218912.363103","313531027.506304","263990084.816415","286201646.10524","260957403.685258","274260898.635491","261894310.12875","257109285.586227","256222684.87441","255040275.714566","249153866.979791","249103236.230114","227966216.852215","",
"Brunei Darussalam","BRN","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","93151134.6382699","136633913.886897","201554152.501214","207428056.079364","231310466.138962","300285109.90527","582383710.06912","433568419.557912","422429906.542056","386180785.612873","383010641.788946","356347438.752784","244787361.072839","276828110.161444","271814748.558935","370999384.710045","392017600","461461796.712202","539483425.414365","503886681.51999","491125049.103051","615611895.019049","652784751.77305","779548558.728448","553554373.804971","623151150.442478","921964211.136891","880803315.287157","916475538.9255","1004303294.68488","1046026742.39735","1173087839.46167","1211718799.16924","1271448477.20788","1972974880.04516","1499243778.35831","2043374990.83242","3044426027.50616","3166233594.75032","2985155370.84399","2757671823.20442","1878493563.16823","1306608339.96959","1535197841.98711","1908396397.06427","1832140448.61457","1893301736.29405","2593230280.23486",
"Bhutan","BTN","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","","","","3849770.99236641","8215935.33487298","8229238.90063425","10423554.4554455","10699568.6619718","10046426.8391269","10212759.7145123","14356782.4074074","15057327.5862069","20541059.7658657","23096122.2158766","21281547.9331574","22015933.6419753","20827704.1653001","24624950.5897354","31241825.4702436","35523361.5580017","36002756.816304","34721863.7905962","36155441.2447747","36022583.4445928","39849591.0150456","39835182.0613043","44744467.5826535","50665401.5887026","58296986.3945578","68377422.9147814","97542227.650338","105583794.580878","103650335.810335","138305945.439992","150948029.269024","161366987.791276","149817911.252641","159021456.836448","164352108.043565","164968532.025305","183956697.931255","181838878.775251","180173756.715038","137679960.485617","",
"Botswana","BWA","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","5305039.78779841","4044630.40446304","4811715.48117155","4463040.44630404","4386575.68583763","5653266.33165829","7509825.94048287","9704968.94409938","13686788.647169","18248712.2884474","23664638.2691007","25126494.9402024","27612826.6033254","37732431.7797633","41349693.2515337","46706124.5496655","65077088.5622087","68903564.1448966","69468502.1424013","62577017.8681454","56212551.2456638","77217817.0400724","107778902.853059","135267417.696599","152687478.286764","180838484.27842","190294815.987337","202185144.807319","179233213.651933","207665946.509722","251821657.889041","272185789.06203","285142982.360031","297877375.233678","305099039.875443","325708573.444667","320601931.110046","329435190.745599","428576557.102164","497509237.358563","490936775.656185","535664785.688558","685247523.946048","626770378.942126","651606266.858604","816693726.448422","888277646.164195","853760840.259145","867388979.509222","1214213299.7627","979899299.042354","980855318.680512","994269091.752517","1047029411.76471","1019003523.64749","846607077.390409","",
"Central African Republic","CAF","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","399148681.829921","394161775.913748","486830093.500543","593681832.933998","356262689.826029","330516632.361689","334839449.21929","355042206.82356","382150039.860038","402697649.548606","394998947.963087","412458435.750696","439828887.742374",
"Canada","CAN","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105091001011.122","103044826423.997","115847748536.044","126793481920.409","118523372933.884","119490855795.578","131315395046.749","146770945426.595","156900478626.836","166007581100.141","174832883344.195","164795688847.235","138303735456.216","162173511981.153","178532770701.081","183205382392.948","177060852680.399","170212707042.821","155268331357.555","151699381162.328","159724381266.888","170222213294.137","","","",
"Central Europe and the Baltics","CEB","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76853260595.89","81395345586.6044","79716573039.2482","84734760490.4751","79640174274.0534","78470645014.2218","84568040756.9809","92851763399.7958","113690712230.56","141895724804.543","162786206874.627","186034671659.073","232425276247.073","275311555923.816","220479705703.253","230450427136.801","263564373070.586","238554797320.196","248270864405.349","268669426284.912","240888604252.099","248124262107.6","266289992224.854","293112478523.757","290847175724.869","278119963776.795","335938341476.616",
"Switzerland","CHE","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52805333285.3441","53094650627.6151","54395952211.6342","52359178397.4012","59035268699.2762","67143139112.0507","64025484627.8317","55617530489.9056","56241739550.2828","54589085341.4991","49623025225.0118","53020062218.5352","58521991530.861","67784254102.6212","75447637314.033","79518051718.5994","85438257297.8146","96059873375.5415","111424101191.026","101368331954.784","109672939702.568","133578735273.748","124976598643.659","129149929665.84","131602992058.443","122696399612.053","123617809997.135","125810621937.493","132440484038.655","133363570224.648","136456535269.525","153132176014.372",
"Channel Islands","CHI","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Manufacturing, value added (current US$)","NV.IND.MANF.CD","896201641.263636","1021818068","1279547706.72727","1341241825.5625","1451619205.91304","1432875803.28125","1610721329.46154","1654648975.13725","1822993611.73913","2099005145.34884","2324581448.58407","2659506126.80328","2770917186.15385","4560500929.18995","4790378461.87584","1545532768.41141","2405820921.14943","3036145403.71402","3580851308.27543","4631241411.54362","6223083508.71795","7606199525.89744","4915831229.22805","4248129647.03643","4504969812.04305","3885102595.79759","3375401418.90841","3896528024.88492","4702504910.41182","5389879149.27889","6130051148.90128","7217510297.52019","8727288907.55144","9500324002.52369","10967678700.7949","14211918264.9898","11964593478.0605","12756921452.863","11821718768.6024","11099855684.9719","11888134541.6968","11397519016.285","11095117583.0987","11624376165.1721","14090691222.0892","15679799424.9398","17974174916.0341","18364744985.9722","17919639328.8686","17588925262.7974","21465590619.8383","24894006200.9542","26257331044.4008","27682450327.4861","25734202694.5995","25216898734.6591","24196746453.1388","25317363262.364","28371102329.1346","25051917598.3579","22511798703.3875","27446580546.4985",
