year,unitid,inst_name,state_abbr,years_after_entry,earnings_greater_than_25k_pct,earnings_female_mean,earnings_male_mean
"2008","130934","DELAWARE STATE UNIVERSITY","DE","9","0.694878","",""
"2008","130934","DELAWARE STATE UNIVERSITY","DE","7","0.619718","",""
"2008","130907","Delaware Technical Community College-Terry","DE","9","0.614379","",""
"2008","130907","Delaware Technical Community College-Terry","DE","7","0.578853","",""
"2008","130943","UNIVERSITY OF DELAWARE","DE","9","0.870087","",""
"2008","130943","UNIVERSITY OF DELAWARE","DE","7","0.834207","",""
"2007","130934","DELAWARE STATE UNIVERSITY","DE","10","0.729862","37800","40400"
"2007","130934","DELAWARE STATE UNIVERSITY","DE","8","0.676307","",""
"2007","130934","DELAWARE STATE UNIVERSITY","DE","6","0.607379","30900","30600"
"2007","130907","Delaware Technical Community College-Terry","DE","10","0.645333","30800","41400"
"2007","130907","Delaware Technical Community College-Terry","DE","8","0.606316","",""
"2007","130907","Delaware Technical Community College-Terry","DE","6","0.54188","28500","33900"
"2007","130943","UNIVERSITY OF DELAWARE","DE","10","0.875414","57000","71300"
"2007","130943","UNIVERSITY OF DELAWARE","DE","8","0.873773","",""
"2007","130943","UNIVERSITY OF DELAWARE","DE","6","0.819801","45600","47900"
"2006","130934","DELAWARE STATE UNIVERSITY","DE","9","0.700701","",""
"2006","130934","DELAWARE STATE UNIVERSITY","DE","7","0.638857","",""
"2006","130907","Delaware Technical Community College-Terry","DE","9","0.632546","",""
"2006","130907","Delaware Technical Community College-Terry","DE","7","0.61191","",""
"2006","130943","UNIVERSITY OF DELAWARE","DE","9","0.868347","",""
"2006","130943","UNIVERSITY OF DELAWARE","DE","7","0.853757","",""
"2005","130934","DELAWARE STATE UNIVERSITY","DE","8","0.684265","",""
"2005","130934","DELAWARE STATE UNIVERSITY","DE","6","0.602923","32200","30800"
"2005","130907","Delaware Technical Community College-Terry","DE","8","0.615979","",""
"2005","130907","Delaware Technical Community College-Terry","DE","6","0.582485","29300","34800"
"2005","130943","UNIVERSITY OF DELAWARE","DE","8","0.856552","",""
"2005","130943","UNIVERSITY OF DELAWARE","DE","6","0.833333","45700","49500"
"2004","130934","DELAWARE STATE UNIVERSITY","DE","7","0.647812","",""
"2004","130907","Delaware Technical Community College-Terry","DE","7","0.576142","",""
"2004","130943","UNIVERSITY OF DELAWARE","DE","7","0.834269","",""
"2003","130934","DELAWARE STATE UNIVERSITY","DE","6","0.610092","31400","29900"
"2003","130907","Delaware Technical Community College-Terry","DE","6","0.559494","27000","34100"
"2003","130943","UNIVERSITY OF DELAWARE","DE","6","0.810994","43800","48600"
